img_index,person,bicycle,car,motorcycle,chair,couch,potted plant,bed,dining table,toilet,tv,laptop,microwave,oven,toaster,sink,refrigerator
271,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1
272,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
273,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
274,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1
275,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
276,1,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,1
277,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
278,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
279,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1
280,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1
281,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1
282,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0
283,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1
284,1,0,0,0,1,0,1,0,0,1,1,0,1,1,0,1,1
285,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1
286,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
288,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
289,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1
290,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,1,1
291,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1
292,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1
293,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1
294,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1
295,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1
296,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
297,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0
298,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1
299,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0
300,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1
301,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1
302,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1
303,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1
304,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0
305,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
306,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0
307,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0
308,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1
309,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1
310,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1
311,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1
312,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1
313,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0
314,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
315,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1
316,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1
317,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0
318,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
319,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,1
320,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
321,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0
322,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1,0
323,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1
324,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,0
325,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,0
326,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1
327,1,1,0,0,1,1,0,1,0,1,1,0,1,0,0,0,1
328,1,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1
329,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0
330,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1
331,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0
332,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1
333,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
334,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,1,0
335,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1
337,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1
338,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0
339,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
340,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0
341,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
342,1,0,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1
343,0,0,1,0,1,1,0,1,1,1,1,0,0,1,0,1,1
344,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1
345,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
346,0,0,1,0,1,1,0,1,1,1,1,0,0,1,0,1,1
347,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1
348,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1
349,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1
350,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1
351,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0
352,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1
353,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1
354,0,0,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1
355,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
356,0,1,0,1,1,1,1,0,1,0,1,0,1,1,0,0,1
357,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1
358,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1
359,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1
360,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1
361,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
362,0,0,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1
363,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,1
364,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
365,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1
366,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1
367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
368,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0
369,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0
370,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
371,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1
372,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1
373,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
374,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
